depth, width, input_size, file_size
1, 1, 1, 1056
1, 1, 2, 1056
1, 1, 4, 1056
1, 1, 8, 1056
1, 1, 16, 1056
1, 1, 32, 1056
1, 1, 64, 1056
1, 1, 128, 1056
1, 2, 1, 1096
1, 2, 2, 1096
1, 2, 4, 1096
1, 2, 8, 1096
1, 2, 16, 1096
1, 2, 32, 1096
1, 2, 64, 1096
1, 2, 128, 1096
1, 4, 1, 1176
1, 4, 2, 1176
1, 4, 4, 1176
1, 4, 8, 1176
1, 4, 16, 1176
1, 4, 32, 1176
1, 4, 64, 1176
1, 4, 128, 1176
1, 8, 1, 1336
1, 8, 2, 1336
1, 8, 4, 1336
1, 8, 8, 1336
1, 8, 16, 1336
1, 8, 32, 1336
1, 8, 64, 1336
1, 8, 128, 1336
1, 16, 1, 1656
1, 16, 2, 1656
1, 16, 4, 1656
1, 16, 8, 1656
1, 16, 16, 1656
1, 16, 32, 1656
1, 16, 64, 1656
1, 16, 128, 1656
1, 32, 1, 2296
1, 32, 2, 2296
1, 32, 4, 2296
1, 32, 8, 2296
1, 32, 16, 2296
1, 32, 32, 2296
1, 32, 64, 2296
1, 32, 128, 2296
1, 64, 1, 3576
1, 64, 2, 3576
1, 64, 4, 3576
1, 64, 8, 3576
1, 64, 16, 3576
1, 64, 32, 3576
1, 64, 64, 3576
1, 64, 128, 3576
1, 128, 1, 6136
1, 128, 2, 6136
1, 128, 4, 6136
1, 128, 8, 6136
1, 128, 16, 6136
1, 128, 32, 6136
1, 128, 64, 6136
1, 128, 128, 6136
1, 256, 1, 11256
1, 256, 2, 11256
1, 256, 4, 11256
1, 256, 8, 11256
1, 256, 16, 11256
1, 256, 32, 11256
1, 256, 64, 11256
1, 256, 128, 11256
1, 512, 1, 21496
1, 512, 2, 21496
1, 512, 4, 21496
1, 512, 8, 21496
1, 512, 16, 21496
1, 512, 32, 21496
1, 512, 64, 21496
1, 512, 128, 21496
1, 1024, 1, 41976
1, 1024, 2, 41976
1, 1024, 4, 41976
1, 1024, 8, 41976
1, 1024, 16, 41976
1, 1024, 32, 41976
1, 1024, 64, 41976
1, 1024, 128, 41976
2, 1, 1, 1372
2, 1, 2, 1372
2, 1, 4, 1372
2, 1, 8, 1372
2, 1, 16, 1372
2, 1, 32, 1372
2, 1, 64, 1372
2, 1, 128, 1372
2, 2, 1, 1428
2, 2, 2, 1428
2, 2, 4, 1428
2, 2, 8, 1428
2, 2, 16, 1428
2, 2, 32, 1428
2, 2, 64, 1428
2, 2, 128, 1428
2, 4, 1, 1564
2, 4, 2, 1564
2, 4, 4, 1564
2, 4, 8, 1564
2, 4, 16, 1564
2, 4, 32, 1564
2, 4, 64, 1564
2, 4, 128, 1564
2, 8, 1, 1932
2, 8, 2, 1932
2, 8, 4, 1932
2, 8, 8, 1932
2, 8, 16, 1932
2, 8, 32, 1932
2, 8, 64, 1932
2, 8, 128, 1932
2, 16, 1, 2904
2, 16, 2, 2904
2, 16, 4, 2904
2, 16, 8, 2904
2, 16, 16, 2904
2, 16, 32, 2904
2, 16, 64, 2904
2, 16, 128, 2904
2, 32, 1, 6616
2, 32, 2, 6616
2, 32, 4, 6616
2, 32, 8, 6616
2, 32, 16, 6616
2, 32, 32, 6616
2, 32, 64, 6616
2, 32, 128, 6616
2, 64, 1, 20184
2, 64, 2, 20184
2, 64, 4, 20184
2, 64, 8, 20184
2, 64, 16, 20184
2, 64, 32, 20184
2, 64, 64, 20184
2, 64, 128, 20184
2, 128, 1, 71896
2, 128, 2, 71896
2, 128, 4, 71896
2, 128, 8, 71896
2, 128, 16, 71896
2, 128, 32, 71896
2, 128, 64, 71896
2, 128, 128, 71896
2, 256, 1, 273624
2, 256, 2, 273624
2, 256, 4, 273624
2, 256, 8, 273624
2, 256, 16, 273624
2, 256, 32, 273624
2, 256, 64, 273624
2, 256, 128, 273624
2, 512, 1, 1070296
2, 512, 2, 1070296
2, 512, 4, 1070296
2, 512, 8, 1070296
2, 512, 16, 1070296
2, 512, 32, 1070296
