depth, width, file_size
1, 1, 1056
1, 2, 1096
1, 4, 1176
1, 8, 1336
1, 16, 1656
1, 32, 2296
1, 64, 3576
1, 128, 6136
1, 256, 11256
1, 512, 21496
1, 1024, 41976
2, 1, 1372 
2, 2, 1428 56
2, 4, 1564 136 80
2, 8, 1932 368 232
2, 16, 2904 972 604
2, 32, 6616
2, 64, 20184
2, 128, 71896
2, 256, 273624
2, 512, 1070296
2, 1024, 4236504
3, 1, 1696
3, 2, 1768
3, 4, 1960
3, 8, 2536
3, 16, 4160
3, 32, 10944
3, 64, 36800
3, 128, 137664
3, 256, 536000
3, 512, 2119104
3, 1024, 8431040
4, 1, 2020
4, 2, 2108
4, 4, 2356
4, 8, 3140
4, 16, 5416
4, 32, 15272
4, 64, 53416
4, 128, 203432
4, 256, 798376
4, 512, 3167912
4, 1024, 12625576
5, 1, 2344
5, 2, 2448
5, 4, 2752
5, 8, 3744
5, 16, 6672
5, 32, 19600
5, 64, 70032
5, 128, 269200
5, 256, 1060752
5, 512, 4216720
5, 1024, 16820112
